iter	Passed	Remaining
0	11	11099
1	17	8916
2	24	7977
3	29	7277
4	35	7017
5	40	6745
6	45	6497
7	51	6386
8	57	6314
9	63	6292
10	69	6243
11	74	6144
12	79	6044
13	84	5967
14	90	5943
15	95	5858
16	100	5800
17	105	5742
18	110	5717
19	117	5757
20	122	5727
21	127	5671
22	132	5643
23	137	5601
24	142	5542
25	146	5481
26	151	5446
27	156	5440
28	161	5400
29	166	5384
30	171	5353
31	175	5303
32	179	5265
33	184	5237
34	188	5205
35	193	5170
36	197	5147
37	202	5128
38	207	5102
39	211	5079
40	216	5063
41	221	5043
42	225	5018
43	230	4997
44	234	4978
45	239	4957
46	243	4939
47	248	4927
48	253	4916
49	258	4908
50	263	4900
51	268	4892
52	273	4878
53	277	4867
54	282	4857
55	287	4850
56	292	4839
57	297	4832
58	302	4825
59	307	4811
60	312	4809
61	317	4803
62	321	4788
63	326	4781
64	331	4773
65	337	4777
66	343	4779
67	348	4781
68	354	4783
69	359	4781
70	365	4782
71	370	4779
72	376	4774
73	381	4769
74	386	4763
75	390	4752
76	395	4745
77	400	4735
78	404	4720
79	410	4719
80	414	4705
81	419	4691
82	423	4678
83	428	4668
84	432	4657
85	436	4643
86	441	4633
87	446	4623
88	450	4611
89	455	4602
90	460	4599
91	465	4598
92	470	4587
93	474	4576
94	479	4568
95	484	4559
96	488	4547
97	493	4539
98	498	4532
99	502	4519
100	506	4510
101	511	4501
102	515	4492
103	520	4481
104	525	4476
105	530	4470
106	534	4459
107	538	4450
108	543	4444
109	548	4437
110	552	4427
111	557	4421
112	562	4416
113	566	4405
114	571	4395
115	575	4389
116	580	4382
117	585	4372
118	589	4363
119	594	4358
120	598	4349
121	603	4341
122	608	4335
123	612	4328
124	616	4318
125	621	4311
126	626	4305
127	630	4296
128	634	4287
129	639	4280
130	644	4274
131	648	4265
132	652	4255
133	657	4249
134	662	4242
135	666	4233
136	671	4228
137	675	4222
138	680	4213
139	684	4204
140	689	4198
141	693	4191
142	697	4182
143	702	4173
144	706	4168
145	711	4161
146	715	4152
147	720	4147
148	724	4139
149	729	4131
150	733	4123
151	738	4118
152	742	4112
153	747	4104
154	751	4097
155	756	4091
156	760	4085
157	765	4077
158	769	4072
159	774	4068
160	779	4060
161	783	4054
162	788	4049
163	793	4043
164	797	4036
165	802	4030
166	806	4023
167	810	4015
168	815	4009
169	819	4003
170	824	3997
171	828	3989
172	833	3982
173	838	3981
174	843	3974
175	847	3967
176	852	3963
177	857	3958
178	861	3950
179	865	3943
180	870	3939
181	874	3932
182	879	3924
183	883	3919
184	888	3915
185	893	3909
186	899	3909
187	904	3908
188	909	3903
189	915	3901
190	922	3908
191	929	3911
192	935	3913
193	942	3915
194	948	3916
195	954	3916
196	960	3914
197	965	3910
198	970	3907
199	975	3902
200	980	3899
201	986	3897
202	991	3893
203	996	3888
204	1002	3887
205	1008	3885
206	1012	3880
207	1018	3877
208	1023	3872
209	1027	3864
210	1032	3860
211	1037	3854
212	1041	3847
213	1045	3841
214	1050	3835
215	1055	3831
216	1059	3824
217	1064	3819
218	1069	3814
219	1074	3808
220	1078	3802
221	1083	3796
222	1087	3789
223	1092	3783
224	1097	3778
225	1101	3773
226	1106	3767
227	1110	3760
228	1115	3754
229	1119	3748
230	1123	3741
231	1128	3736
232	1133	3730
233	1137	3724
234	1142	3718
235	1146	3712
236	1151	3707
237	1155	3700
238	1160	3693
239	1164	3688
240	1169	3681
241	1173	3675
242	1178	3670
243	1182	3664
244	1187	3658
245	1191	3651
246	1195	3646
247	1200	3640
248	1204	3634
249	1209	3629
250	1214	3623
251	1218	3617
252	1222	3610
253	1227	3605
254	1232	3600
255	1236	3594
256	1242	3590
257	1247	3588
258	1253	3585
259	1258	3580
260	1262	3575
261	1267	3569
262	1271	3563
263	1276	3558
264	1281	3554
265	1286	3551
266	1292	3548
267	1297	3545
268	1302	3538
269	1306	3532
270	1311	3526
271	1315	3521
272	1319	3515
273	1324	3510
274	1330	3508
275	1336	3506
276	1342	3503
277	1348	3501
278	1353	3498
279	1359	3495
280	1365	3492
281	1370	3489
282	1376	3486
283	1381	3482
284	1385	3477
285	1391	3472
286	1395	3467
287	1400	3461
288	1405	3456
289	1409	3450
290	1413	3445
291	1418	3439
292	1423	3433
293	1427	3428
294	1432	3422
295	1436	3416
296	1441	3411
297	1445	3405
298	1449	3399
299	1454	3393
300	1459	3388
301	1463	3381
302	1467	3375
303	1472	3370
304	1476	3364
305	1480	3358
306	1485	3353
307	1490	3349
308	1496	3345
309	1500	3340
310	1506	3336
311	1511	3332
312	1516	3328
313	1521	3324
314	1527	3321
315	1532	3316
316	1537	3312
317	1542	3308
318	1547	3303
319	1552	3299
320	1557	3295
321	1562	3290
322	1567	3286
323	1572	3281
324	1577	3277
325	1582	3272
326	1587	3267
327	1592	3263
328	1597	3258
329	1603	3254
330	1607	3250
331	1612	3243
332	1616	3238
333	1621	3233
334	1625	3227
335	1630	3221
336	1635	3217
337	1640	3212
338	1644	3206
339	1648	3200
340	1653	3195
341	1658	3189
342	1662	3184
343	1666	3178
344	1671	3174
345	1676	3169
346	1680	3163
347	1686	3158
348	1690	3154
349	1695	3148
350	1700	3143
351	1704	3138
352	1709	3132
353	1713	3126
354	1718	3122
355	1723	3117
356	1727	3111
357	1732	3106
358	1736	3100
359	1741	3095
360	1745	3089
361	1750	3084
362	1754	3079
363	1758	3073
364	1763	3067
365	1768	3062
366	1772	3057
367	1776	3051
368	1781	3046
369	1786	3041
370	1790	3035
371	1794	3030
372	1799	3025
373	1804	3019
374	1808	3013
375	1812	3008
376	1817	3003
377	1822	2998
378	1826	2992
379	1830	2987
380	1835	2982
381	1839	2976
382	1843	2970
383	1848	2965
384	1853	2961
385	1857	2955
386	1862	2949
387	1867	2945
388	1871	2939
389	1875	2934
390	1880	2928
391	1885	2924
392	1889	2918
393	1893	2912
394	1898	2907
395	1902	2902
396	1907	2896
397	1912	2892
398	1916	2887
399	1921	2881
400	1925	2875
401	1929	2870
402	1934	2865
403	1938	2859
404	1943	2854
405	1947	2849
406	1952	2844
407	1956	2839
408	1961	2834
409	1965	2829
410	1970	2823
411	1974	2817
412	1979	2813
413	1983	2807
414	1987	2802
415	1992	2796
416	1996	2791
417	2001	2786
418	2005	2781
419	2010	2776
420	2015	2772
421	2020	2767
422	2024	2761
423	2029	2757
424	2034	2752
425	2038	2746
426	2043	2742
427	2048	2737
428	2052	2732
429	2057	2727
430	2061	2722
431	2066	2717
432	2071	2712
433	2076	2707
434	2080	2702
435	2085	2697
436	2089	2692
437	2094	2687
438	2099	2682
439	2103	2677
440	2108	2672
441	2113	2667
442	2117	2662
443	2122	2657
444	2127	2653
445	2132	2648
446	2136	2643
447	2141	2638
448	2146	2634
449	2151	2629
450	2156	2624
451	2160	2619
452	2165	2614
453	2170	2609
454	2174	2605
455	2180	2601
456	2185	2596
457	2191	2593
458	2197	2589
459	2202	2585
460	2208	2582
461	2214	2578
462	2219	2574
463	2226	2571
464	2231	2567
465	2236	2562
466	2241	2557
467	2245	2553
468	2250	2547
469	2255	2543
470	2260	2538
471	2264	2533
472	2269	2528
473	2274	2523
474	2278	2518
475	2283	2513
476	2288	2509
477	2294	2505
478	2298	2500
479	2303	2495
480	2309	2491
481	2314	2487
482	2319	2482
483	2324	2478
484	2329	2473
485	2334	2469
486	2339	2464
487	2344	2460
488	2349	2455
489	2354	2451
490	2360	2446
491	2364	2441
492	2370	2437
493	2375	2433
494	2379	2427
495	2384	2423
496	2390	2418
497	2394	2414
498	2399	2409
499	2404	2404
500	2409	2399
501	2413	2394
502	2418	2390
503	2424	2385
504	2429	2381
505	2434	2376
506	2439	2372
507	2444	2367
508	2448	2362
509	2454	2358
510	2459	2353
511	2464	2349
512	2475	2350
513	2480	2345
514	2486	2341
515	2502	2347
516	2522	2356
517	2527	2352
518	2533	2348
519	2541	2345
520	2554	2348
521	2561	2345
522	2571	2344
523	2578	2342
524	2587	2340
525	2595	2338
526	2607	2340
527	2621	2343
528	2628	2340
529	2637	2338
530	2643	2334
531	2652	2333
532	2662	2332
533	2671	2331
534	2677	2326
535	2684	2323
536	2689	2319
537	2695	2314
538	2703	2311
539	2709	2307
540	2718	2306
541	2726	2304
542	2732	2299
543	2738	2295
544	2743	2290
545	2748	2285
546	2755	2281
547	2762	2278
548	2791	2292
549	2809	2299
550	2819	2297
551	2828	2295
552	2835	2291
553	2844	2289
554	2852	2287
555	2858	2282
556	2864	2278
557	2870	2273
558	2875	2268
559	2880	2262
560	2885	2257
561	2889	2252
562	2894	2246
563	2898	2240
564	2903	2235
565	2908	2229
566	2912	2224
567	2917	2218
568	2921	2213
569	2926	2207
